Dataset,Method,Repeat_Prompts,Repeat_Contexts,Rouge_Prompts,Rouge_Contexts,PPL
healthcaremagic,baseline_attack,33,31,66,62,7.40
healthcaremagic,pad_attack,40,43,75,81,7.83
healthcaremagic,lprag_attack,29,33,60,67,7.83
healthcaremagic,den_pad_attack,41,43,85,95,7.27
icliniq,baseline_attack,62,75,90,94,8.60
icliniq,pad_attack,66,74,93,99,8.50
icliniq,lprag_attack,45,49,85,86,8.07
icliniq,den_pad_attack,68,80,86,96,8.96
enron_mail,baseline_attack,115,103,193,162,9.74
enron_mail,pad_attack,117,105,193,160,9.50
enron_mail,lprag_attack,78,59,160,133,13.26
enron_mail,den_pad_attack,99,89,189,154,10.34
